,R_Cost
0,131940.0
1,12101.434081745489
2,473785.7992543685
3,3300.2216550273897
4,3450.5799058062307
5,930.3286824209639
6,79723.00392631246
7,16481.530851865853
8,0.0
9,2482.6892273821445
10,15656.065634812692
11,2821.627293555555
12,14819.437881426471
13,0.0
14,5031.958743116771
15,19949.741695938777
16,0.0
17,0.0
18,19024.952604366736
19,20989.418484854825
20,0.0
21,14222.950622618704
22,45217.69365217143
23,0.0
24,3348.5299487901334
25,11306.731707145409
26,0.0
27,0.0
28,2127.9541742159367
29,2329.127566326182
30,0.0
31,0.0
32,0.0
33,0.0
34,258795.07558667762
35,2540.0780879402573
36,0.0
37,16194.064652914887
38,2048.690641028245
39,1756.2349924303528
40,1950.8558302279857
41,0.0
42,1760.8911433490325
43,0.0
44,38702.775508599756
45,7450.701595188751
46,7087.614709236225
47,1638.2386009731597
48,22133.9592947964
49,126125.68765683475
50,2752.2312021995767
51,3201.4989508536655
52,11966.440145536475
53,0.0
54,0.0
55,9549.949534556688
56,151870.0
57,230850.0
58,1108.749533952402
59,183213.87000666477
60,2942.327950231411
61,3240.2443439579224
62,0.0
63,174960.0
64,5051.9725921567515
65,18563.86027372512
66,0.0
67,0.0
68,3496.427577457498
69,4112.979407786442
70,3880.425702480379
71,2540.0666482418083
72,18837.902658930892
73,0.0
74,0.0
75,222752.9386079207
76,185200.0
77,34313.79335520998
78,83413.13213649073
79,148632.29113085067
80,0.0
81,18160.12028095107
82,69260.2905275096
83,0.0
84,178394.94942846228
85,2923.4329910205693
86,2817.4513510606844
87,183405.15287689434
88,330786.0867106112
89,172468.71465677503
90,3356.086420229493
91,2504.5776042553252
92,12198.02530766898
93,0.0
94,2214.5380180617685
95,12239.626492209158
96,3342.428719612199
97,0.0
98,86507.88963065273
99,1439.144597428838
100,0.0
101,0.0
102,16444.93424995862
103,17529.712586838028
104,306430.0
105,86243.05759851167
106,1469.4130347992314
107,1999.0616272541236
108,0.0
109,137720.0
110,13264.251608631583
111,197603.75082478224
112,207612.36228663535
113,3268.861416605273
114,0.0
115,2750.858794622117
116,83679.97451865676
117,18359.960710383166
118,85505.00275752017
119,0.0
120,8658.677353739506
121,0.0
122,54168.943487470984
123,11445.959345612657
124,2007.0902230022373
125,0.0
126,2066.8493224398053
127,2135.6848256452176
128,2266.716138115297
129,107040.0
130,16339.699155332835
131,45270.42174692155
132,43385.01854966378
133,1982.6235345687833
134,5601.496834441001
135,29870.055117358297
136,0.0
137,0.0
138,220451.47941955985
139,46364.19220747671
140,224820.0
141,2172.6667044252836
142,157672.15179653114
143,2250.8963692083566
144,714.7852007445384
145,197597.42038809697
146,8277.885500547223
147,208710.0
148,2067.782477919106
149,0.0
150,28819.081213806272
151,0.0
152,1873.9381691497747
153,363823.1566681212
154,3057.4933853758384
155,10266.163212477815
156,1580.8728319295283
157,7122.014600471521
158,0.0
159,146700.0
160,8895.11699743997
161,0.0
162,2292.2978363748784
163,2360.6820624454544
164,3645.7237101058226
165,11012.731776216531
166,68503.71245421063
167,134286.78961144004
168,0.0
169,22201.40454234101
170,131560.0
171,107449.90704343299
172,1129.871049585537
173,1763.8965604505136
174,9729.477635886919
175,1578.1133614693904
176,0.0
177,7442.99440692565
178,0.0
179,103405.08917073882
180,11712.729480195205
181,0.0
182,2600.635304032378
183,4919.628599691419
184,252711.99959469942
185,1786.744673863622
186,2491.928700125157
187,8658.84062558048
188,137690.0
189,25711.012582520478
190,7881.825366807514
191,1406.0265229912877
192,14380.260041568623
193,253640.18295730092
194,3583.63076070188
195,0.0
196,1850.544971381351
197,25058.614425986718
198,2281.4806970443924
199,0.0
200,2992.7643027755926
201,0.0
202,3300.5757270956155
203,110050.0
204,3114.59631558716
205,72473.74708073467
206,134374.94260106274
207,0.0
208,0.0
209,1604.6079747436931
210,12177.303634057242
