,OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2,mph,idd,DS1,DS2,DS3,DS4,dmg
0,64590,77.21141192,34.669224,2016,Hard Board (Hardy board or pla,37754,131940,Residential,2004,1,Single Family,Hard Board (Hardy board or pla,Building Modified,A58,2219.860665,11775.67639,146.7368549259047,37754,0.9678199615876394,0.7648288951323673,0.5515539401549682,0.5010617290571528,4
1,120592,77.37389311,34.76787933,2006,Cedar/Redwood/Cypress,45542,133340,Residential,1988,1,Single Family,Cedar/Redwood/Cypress,Building Existing,A14,2783.299933,9727.959884,134.29905837199553,45542,0.8366880698161923,0.3943107414207473,0.11232817307294596,0.0648350444118159,2
2,89645,77.16014464,34.68214276,2006,Cedar/Redwood/Cypress,53669,492240,Waterfront River/Creek,2001,1,Single Family,Cedar/Redwood/Cypress,Building Existing,A62,3483.49141,21968.29168,147.42146388858814,53669,0.9462437487685404,0.6822532871396795,0.36423576179628514,0.2857363423934177,4
3,47967,77.44382558,34.80017931,2016,Aluminum/Vinyl,68961,167250,Residential,2007,1,Single Family,Aluminum/Vinyl,Building New,A62,2672.812928,10502.67157,129.69041206233325,68961,0.7562061252975661,0.2762997266913978,0.06525194408212617,0.05115437069832748,1
4,59405,77.54160102,34.8974844,2016,Aluminum/Vinyl,17408,46720,Residential,1960,1,Single Family,Aluminum/Vinyl,Building New,A14,87.81542346,5503.109841,119.75926043406076,17408,0.5396332320117382,0.1106685276535267,0.012037634769772194,0.005277583751526638,0
5,78953,77.35804075,34.52078651,2006,STUCCO BLOCK,39902,160000,Building Only (No Land),1985,1,Beach Condo,STUCCO BLOCK,Building Existing,C14,20853.18446,190.8960013,151.63289484119935,39902,0.9860632838193084,0.7934218404116828,0.28980427332265063,0.0003582086163251692,3
6,129693,77.43047504,34.7868477,2006,Brick Frame,42639,166210,Residential,1984,2,Single Family,Brick Frame,Building Existing,A30,174.5418043,12838.07989,131.1030527335808,42639,0.9297375379778354,0.627370796408816,0.3343975292536366,0.24308702198908066,4
7,134642,77.41237084,34.80569505,2006,Aluminum/Vinyl,67419,160320,Residential,2006,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2350.997019,21047.14601,130.27358354276936,67419,0.7661411513680795,0.2889409055218667,0.07060082570433569,0.05520261246092373,1
8,28303,77.65487714,34.69502512,2016,Aluminum/Vinyl,152912,120230,Building Site,2011,1,Single Family,Aluminum/Vinyl,Building New,A58,1794.913778,20749.9962,129.94750981338993,152912,0.8368876730648485,0.3856544150193053,0.16476758692495796,0.15626577524536495,1
9,134726,77.46339673,34.8067051,2006,Aluminum/Vinyl,47397,151850,Residential,1988,1,Single Family,Aluminum/Vinyl,Building Existing,A10,2621.550682,12989.87846,128.57454593735807,47397,0.8122864337277943,0.43036931427697,0.13680721140265095,0.1353876727099964,2
10,87686,77.47327829,34.67706703,2006,Aluminum/Vinyl,53545,140070,Residential,1995,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2213.018143,23101.19512,137.42022224703317,53545,0.8659988546499701,0.45563983939110964,0.16211210859621034,0.12480080164453583,1
11,56686,77.52390173,34.84970052,2016,Aluminum/Vinyl,67295,279470,Building Site,2006,1,Single Family,Aluminum/Vinyl,Building New,A62,395.6082055,175705.6977,123.54439409155418,67295,0.6358424614231326,0.15903072592586714,0.025381496851619334,0.020757846240450694,0
12,78259,77.39672641,34.51123692,2006,Aluminum/Vinyl,5376,265600,Waterfront ICW,1990,1,Single Family,Aluminum/Vinyl,Building Existing,A14,1826.147964,21839.05482,151.32977700618315,5376,0.971240062992519,0.7663364354906149,0.4487363390589244,0.33359074892201523,3
13,59370,77.54497321,34.89690883,2016,,7112,984454,Commercial,0,1,APARTMENT,,Building New,C14,248.1678203,135696.4041,119.69071678084369,7112,0.6478183698492446,0.1244737335132926,0.00342114927830774,1.1879108881975822e-13,1
14,30392,77.14638589,34.69934054,2016,Aluminum/Vinyl,76144,149400,Townhome,2009,2,Town Home,Aluminum/Vinyl,Building New,B32,5246.392211,3576.932737,146.59631236705928,76144,0.6307960801519865,0.2517697752164715,0.0564468762972889,0.044843975117411644,2
15,91142,77.19571111,34.68850124,2006,ALUMINUM/VINYL,58849,47120,Building Site,1988,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B35,1970.33277,15485.01554,145.93473171179332,58849,0.8482944975738869,0.7481934758405693,0.416004168641956,0.29983489002792063,4
16,51224,77.41073176,34.81692561,2016,Aluminum/Vinyl,155070,73510,Townhome,2012,2,Town Home,Aluminum/Vinyl,Building New,B32,3012.781827,1839.533876,129.48464226710382,155070,0.29026475702950905,0.036144180914038704,0.002352817734894103,0.0016503558163683347,0
17,53628,77.41389708,34.82938018,2016,Aluminum/Vinyl,157720,170220,Residential,2013,1,Single Family,Aluminum/Vinyl,Building New,A58,2318.68378,13561.02415,128.46370915520316,157720,0.8158645719419332,0.34961333550963636,0.14019314841625907,0.13444430397500706,1
