,x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES,mph,DS1,DS2,DS3,DS4,dmg_state,kmh,Dislocation
0,77.5186149,34.44151549,0,1,1.0,17196,Building New,274.5669147,3326.702519,2016,"63872.0, 63873.0, 63874.0, 63875.0",4,4,2021.0,929960,16.0,Waterview,2003.0,NONE,2,6980,Beach Townhome,HARD BOARD (HARDY BOARD),C26,C26,Beach Townhome,130.51955917935817,0.936602137720625,0.7593784966221916,0.434744372805207,0.13264310855663058,3,210.13649027876667,1
1,77.51753919,34.4416612,0,2,2.0,17197,Building New,156.05022,1446.45333,2016,9789,1,1,2021.0,64780,15.0,Waterfront Ocean,1962.0,NONE,1,1214,Beach House,CEDAR/REDWOOD/CYPRESS, A70,A70,Beach House,130.5425924042943,0.632517109274988,0.10914028014099669,0.005295738742249069,0.00014371371819402512,1,210.17357377091386,0
2,77.5184842,34.44172138,0,3,3.0,17198,Building New,185.0650469,1805.217729,2016,21716,1,1,2021.0,164980,16.0,Waterview,2003.0,NONE,1,1806,Beach House,ALUMINUM/VINYL,A2,A2,Beach House,130.51488406298438,0.8177703288047458,0.4027055979635145,0.06885398046179632,0.006849412643894494,2,210.12896334140487,0
3,77.51827668,34.44177078,0,4,4.0,17199,Building New,116.6848471,809.5934136,2016,23583,1,1,2021.0,420490,16.0,Waterview,2020.0,PART,2,3734,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House,130.51849076752634,0.9539474717270335,0.7875609390660864,0.4194544518394156,0.14769474179658382,3,210.13477013571742,1
4,77.51880704,34.44173912,0,5,5.0,17200,Building New,274.5659976,3326.708935,2016,"63876.0, 63877.0, 63878.0, 63879.0",4,4,2021.0,940760,18.0,Townhome,2004.0,NONE,2,6980,Beach Townhome,HARD BOARD (HARDY BOARD),C26,C26,Beach Townhome,130.50549865268044,0.9365063851198332,0.7591204323083045,0.4343589216001036,0.13241215329639944,2,210.11385283081552,0
5,77.5181549,34.44189934,0,6,6.0,17201,Building New,197.2774514,2245.483477,2016,"14753.0, 35038.0",2,2,2021.0,259160,48.0,Waterview,1999.0,NONE,1,1760,Beach Duplex,ALUMINUM/VINYL, A66,A66,Beach Duplex,130.51664412550582,0.7679865308246532,0.17469755351958677,0.0036613580073076727,5.495514552359351e-05,1,210.1317970420644,0
6,77.51796171,34.44196035,0,7,7.0,17202,Building New,185.1803809,2073.135265,2016,"25293.0, 29170.0",2,2,2021.0,190740,48.0,Waterview,1989.0,NONE,1,1780,Beach Duplex,ALUMINUM/VINYL, A70,A70,Beach Duplex,130.51939772470956,0.6320388485677529,0.10888491653080817,0.005273245875514137,0.00014305614399524018,1,210.1362303367824,0
7,77.51901422,34.4419414,0,8,8.0,17203,Building New,436.4277565,5838.321049,2016,"72081.0, 72082.0, 72083.0, 72084.0, 72085.0, 72086.0, 72087.0, 72088.0",8,8,2021.0,2121000,0.0,Building Only (No Land),2006.0,NONE,3,11910,Beach Condo,"ALUMINUM,VINYL",C26,C26,Beach Condo,130.49185840304298,0.9364133772230883,0.7588699112766881,0.43398501168997994,0.13218834265124296,2,210.09189202889922,0
8,77.51780045,34.44206419,0,9,9.0,17204,Building New,210.3430471,2180.454774,2016,4037,1,1,2021.0,154960,16.0,Waterview,1987.0,NONE,1,1520,Beach House,CEDAR/REDWOOD/CYPRESS, A66,A66,Beach House,130.51958740046356,0.7680356770275021,0.17474222356617142,0.0036636022115762467,5.4997498230740744e-05,1,210.13653571474634,0
9,77.5176151,34.44212353,0,10,10.0,17205,Building New,189.8923061,2216.054464,2016,4038,1,1,2021.0,429600,16.0,Waterview,2006.0,PART,2,2833,Beach House,ALUMINUM/VINYL,A18,A18,Beach House,130.52219022837585,0.9539670187154619,0.7876294677594549,0.4195551484940151,0.1477542097562568,2,210.14072626768512,0
10,77.51746027,34.44222593,0,11,11.0,17206,Building New,161.8050005,1314.595525,2016,19539,1,1,2021.0,93670,16.0,Waterview,1971.0,NONE,1,840,Beach House,ALUMINUM/VINYL, A54,A54,Beach House,130.52225868600922,0.7879543872046121,0.2831753691157035,0.02935876266896544,0.0007530833842576535,2,210.14083648447487,0
11,77.51667388,34.44221599,0,12,12.0,17207,Building New,163.0255474,1660.942728,2016,25515,1,1,2021.0,109380,15.0,Waterfront Ocean,1970.0,NONE,1,1236,Beach House,ALUMINUM/VINYL, A82,A82,Beach House,130.54365520798953,0.8111431222821458,0.284041804269481,0.03177155725707082,0.00028749620899842294,2,210.17528488486315,0
12,77.51731127,34.44235616,0,13,13.0,17208,Building New,264.9697058,2219.798454,2016,"158354.0, 5640.0",2,2,2021.0,545160,48.0,Waterview,2013.0,PART,2,4478,Beach Duplex,HARD BOARD (HARDY BOARD), A30,A30,Beach Duplex,130.52105967073823,0.925357261248687,0.6132585429318762,0.3198034329846495,0.2316320648714773,4,210.13890606988855,1
13,77.51706479,34.44244094,0,14,14.0,17209,Building New,130.4627618,1056.704114,2016,13190,1,1,2021.0,414570,16.0,Waterview,2020.0,NONE,2,3340,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House,130.52427363049006,0.9539780236923207,0.7876680540918128,0.4196118582589833,0.14778770626782345,2,210.144080545089,0
14,77.51681206,34.4426261,0,15,15.0,17210,Building New,148.267073,1357.451488,2016,10792,1,1,2021.0,167040,16.0,Waterview,1997.0,NONE,2,1426,Beach House,ALUMINUM/VINYL, A22,A22,Beach House,130.5236487080936,0.9256601726129421,0.6026743975340818,0.24786850229207313,0.041830712834564104,3,210.1430744200307,1
15,77.5175635,34.4434164,0,16,16.0,17214,Building New,162.0183868,1377.620989,2016,9658,1,1,2021.0,343360,1.0,Residential,2016.0,PART,2,2396,Beach House,ALUMINUM/VINYL, A30,A30,Beach House,130.47190977495143,0.9249770873164955,0.612056668040608,0.3185802787019064,0.23067635167106226,1,210.0597747376718,0
16,77.52011598,34.44344006,0,17,17.0,17215,Building New,221.8668669,2558.786006,2016,28230,1,1,2021.0,241150,9.0,Waterfront Canal,2008.0,NONE,1,2280,Beach House,ALUMINUM/VINYL, A94,A94,Beach House,130.40187059616542,0.7197095010334733,0.2316292928105117,0.045585149415695754,0.022659459673589673,2,209.94701165982633,0
17,77.52021933,34.44354898,0,18,18.0,17218,Building New,219.2034301,2833.648931,2016,19545,1,1,2021.0,266980,9.0,Waterfront Canal,2010.0,PART,1,2088,Beach House,ALUMINUM/VINYL, A54,A54,Beach House,130.39465567099106,0.7857670703039312,0.280423078028759,0.028769463660576658,0.0007280990948115459,1,209.9353956302956,0
18,77.51903792,34.44363403,0,19,19.0,17221,Building New,167.7103989,1569.707482,2016,3367,1,1,2021.0,150040,1.0,Residential,2014.0,NONE,1,1200,Beach House,ALUMINUM/VINYL, A90,A90,Beach House,130.4233486113113,0.7935102520041059,0.3178449560978427,0.15548637440402668,0.12648026705031967,2,209.9815912642112,0
19,77.51935203,34.44385512,0,20,20.0,17226,Building New,180.7442083,1976.205081,2016,24660,1,1,2021.0,394700,9.0,Waterfront Canal,2013.0,PART,2,2977,Beach House,ALUMINUM/VINYL, A22,A22,Beach House,130.40590079478042,0.9247495289819186,0.599771046414761,0.24528033655012166,0.04110272318717208,1,209.95350027959648,0
20,77.51945742,34.44398874,0,21,21.0,17228,Building New,158.7436987,1475.300846,2016,8744,1,1,2021.0,175880,9.0,Waterfront Canal,2019.0,NONE,1,1300,Beach House,ALUMINUM/VINYL, A14,A14,Beach House,130.3976350615707,0.7746243885236657,0.3037054893879956,0.06913761281100334,0.0372598416692359,2,209.94019244912883,0
21,77.52071651,34.44418622,0,22,22.0,17231,Building New,180.398113,1801.575529,2016,21128,1,1,2021.0,308670,9.0,Waterfront Canal,2013.0,PART,2,2421,Beach House,ALUMINUM/VINYL, A22,A22,Beach House,130.3552612168442,0.924355030220108,0.5985198932802815,0.2441710189837063,0.0407926142808172,2,209.8719705591192,0
22,77.5208162,34.44430713,0,23,23.0,17237,Building New,210.268397,2657.629163,2016,1803,1,1,2021.0,231020,9.0,Waterfront Canal,2013.0,NONE,1,1716,Beach House,ALUMINUM/VINYL, A94,A94,Beach House,130.34761822324487,0.718630434502636,0.23057351236629958,0.045187994490776116,0.02243647455983842,1,209.85966533942425,0
23,77.5193551,34.44457353,0,24,24.0,17242,Building New,206.4171654,2471.815499,2016,25737,1,1,2021.0,234000,9.0,Waterfront Canal,2012.0,PART,1,2124,Beach House,ALUMINUM/VINYL, A14,A14,Beach House,130.37673405681,0.7742540527402313,0.30323862231927845,0.06894401636072565,0.037141472718451335,1,209.9065418314641,0
24,77.52008334,34.44471048,0,25,25.0,17243,Building New,172.5315746,1663.596272,2016,2550,1,1,2021.0,338230,9.0,Waterfront Canal,2016.0,PART,2,2690,Beach House,ALUMINUM/VINYL, A26,A26,Beach House,130.35129232827768,0.954467296975629,0.7946069626910373,0.532699321138063,0.42606171515713365,4,209.86558064852707,1
25,77.51507568,34.44478571,0,26,26.0,17247,Building New,162.1596607,1424.954216,2016,1811,1,1,2021.0,212190,1.0,Residential,2010.0,NONE,2,1568,Beach House,ALUMINUM/VINYL, A30,A30,Beach House,130.48349445391648,0.9250668403469346,0.6123400891014054,0.3188684414823957,0.23090144798496648,2,210.07842607080553,0
26,77.51804099,34.44511066,0,27,27.0,17250,Building New,198.6411055,2347.730568,2016,14713,1,1,2021.0,448170,9.0,Waterfront Canal,2012.0,PART,2,2955,Beach House,HARD BOARD (HARDY BOARD), A30,A30,Beach House,130.39064400614134,0.9243449435415745,0.6100661085371022,0.31656120976349417,0.22910020695859545,1,209.92893684988758,0
27,77.51557149,34.44520453,0,28,28.0,17251,Building New,168.9541363,1577.082264,2016,8463,1,1,2021.0,254300,1.0,Residential,2019.0,NONE,2,2137,Beach House,ALUMINUM/VINYL, A26,A26,Beach House,130.45336260479726,0.9549997646489837,0.7964573804977471,0.5355277077387479,0.42862064397259625,2,210.0299137937236,0
28,77.51658489,34.44539591,0,29,29.0,17257,Building New,183.1716218,1836.997623,2016,25077,1,1,2021.0,248810,9.0,Waterfront Canal,2011.0,NONE,1,2284,Beach House,ALUMINUM/VINYL, A102,A102,Beach House,130.4184111610384,0.6299531939767,0.10777757885675932,0.005176256493591092,0.00014022453737545294,1,209.97364196927182,0
29,77.52246625,34.44586887,0,30,30.0,17267,Building New,150.1430779,1336.697335,2016,1807,1,1,2021.0,139010,10.0,Waterfront Canal,2008.0,NONE,1,1004,Beach House,HARD BOARD (HARDY BOARD), A110,A110,Beach House,130.23820763775902,0.6348922618527544,0.12134082031285853,0.011050607499548814,0.0014052058086391488,1,209.68351429679203,0
30,77.51699829,34.44590138,0,31,31.0,17271,Building New,171.4736045,1621.074292,2016,6994,1,1,2021.0,186960,9.0,Waterfront Canal,2006.0,PART,1,1782,Beach House,ALUMINUM/VINYL, A6,A6,Beach House,130.3867288736457,0.7194085827242904,0.23642352502798325,0.02398116631591291,0.0012073756465451543,2,209.92263348656957,0
31,77.51590532,34.44593583,0,32,32.0,17272,Building New,263.2956842,2899.631529,2016,28158,1,1,2021.0,566120,9.0,Waterfront Canal,2006.0,NONE,2,3955,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House,130.41478894397187,0.953396592307571,0.7856339236782266,0.41663277252011777,0.14603360038984559,2,209.9678101997947,0
32,77.52081559,34.44648312,0,34,33.0,17280,Building New,138.2047574,1111.248364,2016,4044,1,1,2021.0,222650,9.0,Waterfront Canal,2008.0,NONE,2,1883,Beach House,ALUMINUM/VINYL,A18,A18,Beach House,130.2586366555443,0.9525562824102141,0.7827102401400414,0.41238785349489404,0.14355359373850618,2,209.71640501542635,0
33,77.51567425,34.44643287,0,35,34.0,17282,Building New,187.1344668,2068.97491,2016,8318,1,1,2021.0,274770,9.0,Waterfront Canal,2014.0,NONE,1,1720,Beach House,ALUMINUM/VINYL, A10,A10,Beach House,130.40079147104865,0.8382020219006391,0.4769134086263157,0.17010808074506378,0.16262005595358642,2,209.94527426838835,0
34,77.51298455,34.44645034,0,36,35.0,17283,Building New,156.6080089,1517.456729,2016,3410,1,1,2021.0,230770,1.0,Residential,2013.0,NONE,2,1536,Beach House,ALUMINUM/VINYL, A26,A26,Beach House,130.47191385055712,0.9550959556807702,0.7967924675560685,0.5360413401762543,0.42908583913498943,3,210.05978129939697,1
35,77.52028024,34.44696796,0,38,36.0,17290,Building New,197.925918,1960.677011,2016,18238,1,1,2021.0,191990,9.0,Waterfront Canal,2011.0,NONE,1,1448,Beach House,HARD BOARD (HARDY BOARD), A86,A86,Beach House,130.2534296149852,0.725316749449918,0.1944932641038601,0.02101501098267078,0.00028896615117790124,2,209.7080216801262,0
36,77.51218295,34.44692817,0,39,37.0,17291,Building New,143.057692,1196.728835,2016,28115,1,1,2021.0,230810,1.0,Residential,2013.0,NONE,2,1632,Beach House,ALUMINUM/VINYL, A26,A26,Beach House,130.47379182111723,0.9551056832488942,0.7968263679064863,0.53609332855765,0.42913293335676145,2,210.06280483199876,0
37,77.51852603,34.44704189,0,40,38.0,17292,Building New,170.509346,1755.549015,2016,17537,1,1,2021.0,288620,9.0,Waterfront Canal,2011.0,NONE,2,2270,Beach House,ALUMINUM/VINYL, A22,A22,Beach House,130.2985474949435,0.9239111604986284,0.5971168888692894,0.24293134918349918,0.04044742307910102,1,209.78066146685904,0
38,77.51498829,34.4469947,0,41,39.0,17293,Building New,224.9873967,2769.130652,2016,786,1,1,2021.0,265580,9.0,Waterfront Canal,2008.0,NONE,1,1842,Beach House,ALUMINUM/VINYL,A2,A2,Beach House,130.39632626387765,0.8159158956466592,0.3995114159779562,0.06765727764928621,0.006677617653183821,1,209.93808528484303,0
39,77.51106249,34.44708879,0,42,40.0,17295,Building New,139.2975926,1124.555688,2016,65350,1,1,2021.0,291610,16.0,Waterview,2014.0,NONE,3,2130,Beach House,ALUMINUM/VINYL,A18,A18,Beach House,130.49684628904353,0.953832963146941,0.7871596996300799,0.4188653534817273,0.14734709946360086,3,210.09992252536009,1
40,77.50901937,34.44705138,0,43,41.0,17296,Building New,254.5796114,3239.390173,2016,37578,1,1,2021.0,869640,14.0,Waterfront Ocean,2007.0,NONE,3,5839,Beach House,ALUMINUM/VINYL, A30,A30,Beach House,130.5518178504755,0.9255943539060054,0.6140098991385277,0.32056965170327345,0.23223109089291805,1,210.18842673926554,0
