OBJECTID,x,y,Year,STRUCTURET,id,taxval,landuse,yearbuilt,storey,Structures,StrucET,Type,type,Area_m2,Area_ft2
64590,77.21141192,34.669224,2016,Hard Board (Hardy board or pla,37754,131940,Residential,2004,1,Single Family,Hard Board (Hardy board or pla,Building Modified,A58,2219.860665,11775.67639
120592,77.37389311,34.76787933,2006,Cedar/Redwood/Cypress,45542,133340,Residential,1988,1,Single Family,Cedar/Redwood/Cypress,Building Existing,A14,2783.299933,9727.959884
89645,77.16014464,34.68214276,2006,Cedar/Redwood/Cypress,53669,492240,Waterfront River/Creek,2001,1,Single Family,Cedar/Redwood/Cypress,Building Existing,A62,3483.49141,21968.29168
47967,77.44382558,34.80017931,2016,Aluminum/Vinyl,68961,167250,Residential,2007,1,Single Family,Aluminum/Vinyl,Building New,A62,2672.812928,10502.67157
59405,77.54160102,34.8974844,2016,Aluminum/Vinyl,17408,46720,Residential,1960,1,Single Family,Aluminum/Vinyl,Building New,A14,87.81542346,5503.109841
78953,77.35804075,34.52078651,2006,STUCCO BLOCK,39902,160000,Building Only (No Land),1985,1,Beach Condo,STUCCO BLOCK,Building Existing,C14,20853.18446,190.8960013
129693,77.43047504,34.7868477,2006,Brick Frame,42639,166210,Residential,1984,2,Single Family,Brick Frame,Building Existing,A30,174.5418043,12838.07989
134642,77.41237084,34.80569505,2006,Aluminum/Vinyl,67419,160320,Residential,2006,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2350.997019,21047.14601
28303,77.65487714,34.69502512,2016,Aluminum/Vinyl,152912,120230,Building Site,2011,1,Single Family,Aluminum/Vinyl,Building New,A58,1794.913778,20749.9962
134726,77.46339673,34.8067051,2006,Aluminum/Vinyl,47397,151850,Residential,1988,1,Single Family,Aluminum/Vinyl,Building Existing,A10,2621.550682,12989.87846
87686,77.47327829,34.67706703,2006,Aluminum/Vinyl,53545,140070,Residential,1995,1,Single Family,Aluminum/Vinyl,Building Existing,A62,2213.018143,23101.19512
56686,77.52390173,34.84970052,2016,Aluminum/Vinyl,67295,279470,Building Site,2006,1,Single Family,Aluminum/Vinyl,Building New,A62,395.6082055,175705.6977
78259,77.39672641,34.51123692,2006,Aluminum/Vinyl,5376,265600,Waterfront ICW,1990,1,Single Family,Aluminum/Vinyl,Building Existing,A14,1826.147964,21839.05482
59370,77.54497321,34.89690883,2016,,7112,984454,Commercial,0,1,APARTMENT,,Building New,C14,248.1678203,135696.4041
30392,77.14638589,34.69934054,2016,Aluminum/Vinyl,76144,149400,Townhome,2009,2,Town Home,Aluminum/Vinyl,Building New,B32,5246.392211,3576.932737
91142,77.19571111,34.68850124,2006,ALUMINUM/VINYL,58849,47120,Building Site,1988,1,Multi-Section MH,ALUMINUM/VINYL,Building Existing,B35,1970.33277,15485.01554
51224,77.41073176,34.81692561,2016,Aluminum/Vinyl,155070,73510,Townhome,2012,2,Town Home,Aluminum/Vinyl,Building New,B32,3012.781827,1839.533876
53628,77.41389708,34.82938018,2016,Aluminum/Vinyl,157720,170220,Residential,2013,1,Single Family,Aluminum/Vinyl,Building New,A58,2318.68378,13561.02415
31719,77.63380879,34.71441038,2016,Concrete Block,18263,108110,Building Site,1955,1,Single Family,Concrete Block,Building New,A14,58.58362659,156202.9558
47126,77.41733643,34.79463396,2016,"Frame Siding, Plywood",43058,111320,Residential,1984,1,Single Family,"Frame Siding, Plywood",Building New,A14,171.4717395,12170.97817
22191,77.49129702,34.54064858,2016,ALUMINUM/VINYL,55790,76630,Building Site,1995,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,407.7332389,31538.39411
30911,77.54621556,34.70808584,2016,ALUMINUM/VINYL,60710,99650,Building Site,2001,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,160.8702671,44609.77096
51467,77.5127954,34.81926902,2016,Aluminum/Vinyl,66944,144090,Residential,2007,1,Single Family,Aluminum/Vinyl,Building New,A58,1967.841559,27753.03857
91648,77.12088872,34.68885703,2006,Aluminum/Vinyl,14441,270890,Residential,1998,2,Single Family,Aluminum/Vinyl,Building Existing,A26,1819.946748,5199.85216
93858,77.22269553,34.70189642,2006,Aluminum/Vinyl,38931,115800,Building Site,1997,1,Single Family,Aluminum/Vinyl,Building Existing,A58,1901.463023,21351.38561
58496,77.6431942,34.88502919,2016,ALUMINUM/VINYL,46765,87920,Building Site,2001,1,Multi-Section MH,ALUMINUM/VINYL,Building New,B32,265.879448,46692.41713
130651,77.391366,34.78883671,2006,Aluminum/Vinyl,64105,154820,Residential,2004,1,Single Family,Aluminum/Vinyl,Building Existing,A58,2565.951496,7681.267055
73189,77.54517452,34.89803876,2016,Asbestos Shingle,23225,97250,Residential,1945,1,Single Family,Asbestos Shingle,Building Modified,A10,1070.624841,14587.81375
128601,77.38851083,34.7837914,2006,Aluminum/Vinyl,49089,104930,Residential,1990,1,Single Family,Aluminum/Vinyl,Building Existing,A10,1852.507627,5684.601406
46996,77.55836516,34.79533012,2016,Aluminum/Vinyl,74828,139990,Residential,2009,1,Single Family,Aluminum/Vinyl,Building New,A58,2104.132317,25531.24363
101892,77.51469919,34.73488265,2006,Hard Board (Hardy board or pla,1140,81250,Building Site,1956,1,Single Family,Hard Board (Hardy board or pla,Building Existing,A10,1967.358279,21557.98057
26530,77.60296046,34.68463713,2016,Aluminum/Vinyl,6087,366230,Building Site,2010,1,Single Family,Aluminum/Vinyl,Building New,A58,812.0040644,297585.2695
48478,77.45265105,34.80399267,2016,Asbestos Shingle,13586,86350,Residential,1971,1,Single Family,Asbestos Shingle,Building New,A14,171.8136498,10587.63626
47318,77.44303436,34.79637357,2016,Aluminum/Vinyl,66645,244180,Residential,2006,2,Single Family,Aluminum/Vinyl,Building New,A26,2213.832832,24903.19335
52674,77.40852053,34.82516549,2016,Aluminum/Vinyl,153439,151260,Residential,2011,1,Single Family,Aluminum/Vinyl,Building New,A58,2080.690097,8040.157408
46601,77.42294024,34.79115298,2016,Board and Batten,15263,115820,Residential,1978,1,Single Family,Board and Batten,Building New,A10,316.8669222,14524.05688
41881,77.433565,34.76511294,2016,"Frame Siding, Plywood",24566,94760,Residential,1959,1,Single Family,"Frame Siding, Plywood",Building New,A10,1102.860751,15513.36438
25394,77.22506295,34.66601553,2016,Aluminum/Vinyl,45471,151870,Residential,1994,1,Single Family,Aluminum/Vinyl,Building New,A58,154.2431453,15500.06217
42092,77.44071701,34.76631048,2016,Brick Frame,7493,230850,Residential,1970,2,Single Family,Brick Frame,Building New,A26,112.5226945,23252.8447
143758,77.260528,34.85914176,2006,Concrete Block,9025,55930,Building Site,1964,1,Single Family,Concrete Block,Building Existing,A10,1476.86436,19241.94651
120690,77.38712764,34.76825148,2006,,12460,349938,Commercial/Ind/Secondary,0,1,MEDICAL BUILDING,,Building Existing,F16,1340.616404,39764.9388
110441,77.41934353,34.75195635,2006,Aluminum/Vinyl,28835,142600,Residential,1951,1,Single Family,Aluminum/Vinyl,Building Existing,A10,2550.692075,20266.64112
30616,77.22101223,34.7020061,2016,Aluminum/Vinyl,75211,162940,Residential,2009,1,Single Family,Aluminum/Vinyl,Building New,A58,2200.900002,35262.20585
44120,77.41795888,34.77673741,2016,Aluminum/Vinyl,75445,72410,Townhome,2009,2,Town Home,Aluminum/Vinyl,Building New,B32,2909.026782,2198.425232
79213,77.35901159,34.52315588,2006,ALUMINUM/VINYL,15495,174960,Waterview,1983,2,Beach Duplex,ALUMINUM/VINYL,Building Existing,A26,1510.371228,7911.838882
44282,77.40293131,34.77756896,2016,Brick Veneer,20792,260620,Residential,2008,2,Single Family,Brick Veneer,Building New,A26,2033.522125,21499.93302
104218,77.13593474,34.7352423,2006,Cedar/Redwood/Cypress,45287,182130,Residential,1995,2,Single Family,Cedar/Redwood/Cypress,Building Existing,A30,1726.533927,37387.90626
108776,77.37455131,34.74834701,2006,Aluminum/Vinyl,67671,49790,Townhome,2005,1,Town Home,Aluminum/Vinyl,Building Existing,B32,4665.738143,1470.768272
69558,77.51435745,34.77765643,2016,"Frame Siding, Plywood",53584,127770,Residential,1995,1,Single Family,"Frame Siding, Plywood",Building Modified,A58,2261.385365,36417.76683
72356,77.51023479,34.84734838,2016,Aluminum/Vinyl,64235,172310,Residential,2005,2,Single Family,Aluminum/Vinyl,Building Modified,A30,1633.687978,51951.63613
143052,77.49601357,34.85378548,2006,Aluminum/Vinyl,65056,207980,Golf Course Lot,2004,2,Single Family,Aluminum/Vinyl,Building Existing,A26,2150.071016,19994.69588
59211,77.50938022,34.89350321,2016,Aluminum/Vinyl,158543,184000,Residential,2014,1,Single Family,Aluminum/Vinyl,Building New,A58,2949.792413,16012.04626
67461,77.48506389,34.73803021,2016,Brick Frame,24710,120890,Residential,1965,1,Single Family,Brick Frame,Building Modified,A14,177.7655852,20796.39527
