id,x,y,idt,taxval,landuse,yearbuilt,storey,Str_old,Structures,type,Area_ft2,o_mph,o_DS1,o_DS2,o_DS3,o_DS4,o_dmg
64590,-77.211,34.669,37754,131940,Residential,2004,1,Single Family,Single Family,A58,2219.860665,146.74,0.968,0.765,0.552,0.501,4
120592,-77.374,34.768,45542,133340,Residential,1988,1,Single Family,Single Family,A14,2783.299933,134.3,0.837,0.394,0.112,0.065,2
89645,-77.16,34.682,53669,492240,Waterfront River/Creek,2001,1,Single Family,Single Family,A62,3483.49141,147.42,0.946,0.682,0.364,0.286,4
47967,-77.444,34.8,68961,167250,Residential,2007,1,Single Family,Single Family,A62,2672.812928,129.69,0.756,0.276,0.065,0.051,1
47972,-77.444,34.8,68961,167250,Residential,2007,1,Single Family,Single Family,A62,2623.873118,129.68,0.756,0.276,0.065,0.051,1
145698,-77.542,34.897,17408,46720,Residential,1960,1,Single Family,Single Family,A14,1078.646539,119.76,0.54,0.111,0.012,0.005,1
78953,-77.358,34.521,39902,160000,Building Only (No Land),1985,1,Beach Condo,Beach Condo,C14,20853.18446,151.63,0.986,0.793,0.29,0,3
129707,-77.431,34.787,42639,166210,Residential,1984,2,Single Family,Single Family,A30,1768.309522,131.1,0.93,0.627,0.334,0.243,2
134642,-77.412,34.806,67419,160320,Residential,2006,1,Single Family,Single Family,A62,2350.997019,130.27,0.766,0.289,0.071,0.055,0
28303,-77.655,34.695,152912,120230,Building Site,2011,1,Single Family,Single Family,A58,1794.913778,129.95,0.837,0.386,0.165,0.156,1
134726,-77.463,34.807,47397,151850,Residential,1988,1,Single Family,Single Family,A10,2621.550682,128.57,0.812,0.43,0.137,0.135,2
87686,-77.473,34.677,53545,140070,Residential,1995,1,Single Family,Single Family,A62,2213.018143,137.42,0.866,0.456,0.162,0.125,1
87716,-77.473,34.677,53545,140070,Residential,1995,1,Single Family,Single Family,A62,528.2883665,137.41,0.866,0.456,0.162,0.125,2
142801,-77.524,34.849,67295,279470,Building Site,2006,1,Single Family,Single Family,A62,3706.729265,123.56,0.636,0.159,0.025,0.021,0
78259,-77.397,34.511,5376,265600,Waterfront ICW,1990,1,Single Family,Single Family,A14,1826.147964,151.33,0.971,0.766,0.449,0.334,1
73150,-77.545,34.896,7112,984454,Commercial,0,1,Apartment,Apartment,C14,4081.20109,119.72,0.648,0.125,0.003,0,1
73159,-77.546,34.897,7112,984454,Commercial,0,1,Apartment,Apartment,C14,3665.078308,119.69,0.648,0.124,0.003,0,0
73160,-77.545,34.897,7112,984454,Commercial,0,1,Apartment,Apartment,C14,4076.516288,119.69,0.648,0.124,0.003,0,0
73168,-77.545,34.897,7112,984454,Commercial,0,1,Apartment,Apartment,C14,4487.557125,119.67,0.647,0.124,0.003,0,1
73176,-77.545,34.897,7112,984454,Commercial,0,1,Apartment,Apartment,C14,3268.216955,119.66,0.647,0.124,0.003,0,1
73179,-77.545,34.897,7112,984454,Commercial,0,1,Apartment,Apartment,C14,3796.350885,119.65,0.647,0.124,0.003,0,0
30392,-77.146,34.699,76144,149400,Townhome,2009,2,Town Home,Town Home,B32,5246.392211,146.6,0.631,0.252,0.056,0.045,2
91142,-77.196,34.689,58849,47120,Building Site,1988,1,Multi-Section MH,Multi-Section MH,B35,1970.33277,145.93,0.848,0.748,0.416,0.3,4
51224,-77.411,34.817,155070,73510,Townhome,2012,2,Town Home,Town Home,B32,3012.781827,129.48,0.29,0.036,0.002,0.002,0
53628,-77.414,34.829,157720,170220,Residential,2013,1,Single Family,Single Family,A58,2318.68378,128.46,0.816,0.35,0.14,0.134,1
66212,-77.634,34.714,18263,108110,Building Site,1955,1,Single Family,Single Family,A14,1284.712093,129.37,0.756,0.281,0.06,0.032,2
66245,-77.634,34.715,18263,108110,Building Site,1955,1,Single Family,Single Family,A14,1262.070064,129.34,0.755,0.281,0.06,0.032,0
95161,-77.634,34.715,18263,108110,Building Site,1955,1,Single Family,Single Family,A14,3035.531208,129.34,0.755,0.28,0.06,0.032,0
95401,-77.633,34.715,18263,108110,Building Site,1955,1,Single Family,Single Family,A14,2006.873095,129.32,0.755,0.28,0.06,0.032,1
132275,-77.417,34.795,43058,111320,Residential,1984,1,Single Family,Single Family,A14,1782.118349,130.94,0.784,0.316,0.074,0.04,1
80681,-77.491,34.541,55790,76630,Building Site,1995,1,Multi-Section MH,Multi-Section MH,B32,1279.433939,146.93,0.637,0.258,0.059,0.047,0
30939,-77.546,34.708,60710,99650,Building Site,2001,1,Multi-Section MH,Multi-Section MH,B32,1754.04637,132.74,0.354,0.058,0.005,0.004,0
66015,-77.546,34.708,60710,99650,Building Site,2001,1,Multi-Section MH,Multi-Section MH,B32,2433.923363,132.76,0.354,0.058,0.005,0.004,0
51467,-77.513,34.819,66944,144090,Residential,2007,1,Single Family,Single Family,A58,1967.841559,126.01,0.777,0.292,0.105,0.103,0
91648,-77.121,34.689,14441,270890,Residential,1998,2,Single Family,Single Family,A26,1819.946748,148.14,0.995,0.971,0.893,0.81,4
93858,-77.223,34.702,38931,115800,Building Site,1997,1,Single Family,Single Family,A58,1901.463023,144.12,0.957,0.716,0.486,0.441,1
